City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chakari,-18.0629,29.8925,21.49,30,31,0.96,ZW,1690040774
84,port douglas,-16.4833,145.4667,20.67,78,0,1.52,AU,1690041062
85,invercargill,-46.4,168.35,4.97,90,33,2.11,NZ,1690040864
86,bousso,10.4795,16.7117,33.41,47,91,2.07,TD,1690041062
87,praia da vitoria,38.7333,-27.0667,25.14,73,40,2.1,PT,1690041062
88,urengoy,65.9667,78.3667,21.86,61,52,2.72,RU,1690041062
89,bandarbeyla,9.4942,50.8122,23.85,86,46,14.01,SO,1690041063
90,manokwari,-0.8667,134.0833,25.49,84,98,1.78,ID,1690041063
91,bethel,41.3712,-73.414,27.17,60,40,4.63,US,1690041063
92,cabedelo,-6.9811,-34.8339,26.37,72,18,8.07,BR,1690041063
93,ribeira grande,38.5167,-28.7,24.22,78,40,2.06,PT,1690041063
94,hafnarfjordur,64.0671,-21.9377,15.56,76,100,4.12,IS,1690041063
95,ca mau,9.1769,105.15,24.37,94,100,2.04,VN,1690041064
96,phan rang-thap cham,11.5667,108.9833,25.71,88,100,1.97,VN,1690041064
97,wailua homesteads,22.0669,-159.378,25.44,87,100,5.14,US,1690041064
98,severo-yeniseyskiy,60.3725,93.0408,19.08,69,99,1.57,RU,1690041064
99,coquimbo,-29.9533,-71.3436,17.85,55,0,3.6,CL,1690041064
100,punta arenas,-53.15,-70.9167,1.31,70,21,4.57,CL,1690041064
101,baruun-urt,46.6806,113.2792,14.88,74,6,3.75,MN,1690041065
102,luderitz,-26.6481,15.1594,14.55,59,100,4.31,NA,1690041065
103,college,64.8569,-147.8028,22.17,68,20,1.54,US,1690040963
104,hammerfest,70.6634,23.6821,14.25,67,20,8.23,NO,1690041065
105,sao jose da coroa grande,-8.8978,-35.1478,25.27,78,50,6.3,BR,1690041065
106,harur,12.0667,78.5,26.9,63,96,5.95,IN,1690041066
107,midland,31.9974,-102.0779,29.89,62,40,8.23,US,1690040773
108,alice springs,-23.7,133.8833,2.75,75,0,2.57,AU,1690040849
109,susuman,62.7833,148.1667,14.58,96,100,0.53,RU,1690041066
110,ha'il,27.5219,41.6907,40.01,9,0,1.03,SA,1690040938
111,broome,42.2506,-75.833,25.39,60,0,4.63,US,1690041067
112,redencao,-4.2258,-38.7306,32.65,35,6,4.31,BR,1690041067
113,san antonio de pale,-1.4014,5.6325,23.09,77,45,5.63,GQ,1690041067
114,adelaide,-34.9333,138.6,10.18,85,87,2.57,AU,1690040857
115,weno,7.4515,151.8468,26.97,94,100,2.57,FM,1690041067
116,remire-montjoly,4.9167,-52.2667,31.02,62,40,3.09,GF,1690041067
117,baukau,51.5526,7.2042,24.64,47,93,2.24,DE,1690041068
118,avarua,-21.2078,-159.775,22.03,83,75,6.17,CK,1690041068
119,isafjordur,66.0755,-23.124,12.02,62,100,0.0,IS,1690041068
120,kapa'a,22.0752,-159.319,26.18,87,100,5.14,US,1690041068
121,hithadhoo,-0.6,73.0833,28.28,74,65,2.65,MV,1690041068
122,blackmans bay,-43.0167,147.3167,8.07,88,72,1.75,AU,1690040537
123,tazovsky,67.4667,78.7,15.43,95,83,3.47,RU,1690041069
124,kadom,54.5592,42.4675,17.98,76,100,2.68,RU,1690041069
125,fort bragg,35.139,-79.006,28.91,64,100,3.09,US,1690040987
126,dudinka,69.4058,86.1778,19.79,85,87,3.22,RU,1690041069
127,chesapeake beach,38.6862,-76.5347,27.88,62,99,0.45,US,1690041069
128,katsuren-haebaru,26.3369,127.8719,29.21,79,20,2.57,JP,1690041069
129,selfoss,63.9331,-20.9971,15.58,71,98,3.25,IS,1690041069
130,chonchi,-42.6128,-73.8092,6.18,73,99,2.06,CL,1690041070
131,curillo,1.0333,-75.9191,21.66,97,100,0.19,CO,1690041070
132,soustons,43.7533,-1.3278,29.54,86,0,4.37,FR,1690041070
133,viedma,-40.8135,-62.9967,14.76,37,100,6.96,AR,1690041070
134,kailua-kona,19.6406,-155.9956,27.55,84,100,2.24,US,1690041070
135,olonkinbyen,70.9221,-8.7187,6.46,74,100,1.91,SJ,1690041070
136,naze,28.3667,129.4833,27.51,84,99,2.92,JP,1690041071
